,,,,,
,,,,,
,,,,,
,,,,,
,AAPL,,,,
,,,,,
,Date,Close,,Date,Volume
,1/3/2017 16:00:00,241.57,,1/3/2017 16:00:00,4383716
,1/4/2017 16:00:00,243.13,,1/4/2017 16:00:00,2728709
,1/5/2017 16:00:00,241.32,,1/5/2017 16:00:00,3562065
,1/6/2017 16:00:00,244.9,,1/6/2017 16:00:00,3590833
,1/9/2017 16:00:00,242.89,,1/9/2017 16:00:00,3022091
,1/10/2017 16:00:00,242.57,,1/10/2017 16:00:00,3430704
,1/11/2017 16:00:00,245.76,,1/11/2017 16:00:00,3527455
,1/12/2017 16:00:00,243.84,,1/12/2017 16:00:00,4022228
,1/13/2017 16:00:00,244.3,,1/13/2017 16:00:00,4185876
,1/17/2017 16:00:00,235.74,,1/17/2017 16:00:00,6275714
,1/18/2017 16:00:00,234.29,,1/18/2017 16:00:00,7587524
,1/19/2017 16:00:00,231.41,,1/19/2017 16:00:00,4557257
,1/20/2017 16:00:00,232.2,,1/20/2017 16:00:00,5207057
,1/23/2017 16:00:00,232.67,,1/23/2017 16:00:00,3135719
,1/24/2017 16:00:00,233.68,,1/24/2017 16:00:00,4448141
,1/25/2017 16:00:00,237.25,,1/25/2017 16:00:00,3713142
,1/26/2017 16:00:00,239.58,,1/26/2017 16:00:00,4194569
,1/27/2017 16:00:00,236.95,,1/27/2017 16:00:00,3253027
,1/30/2017 16:00:00,233.9,,1/30/2017 16:00:00,3803018
,1/31/2017 16:00:00,229.32,,1/31/2017 16:00:00,5151566
,2/1/2017 16:00:00,230.67,,2/1/2017 16:00:00,4024142
,2/2/2017 16:00:00,230.41,,2/2/2017 16:00:00,2775561
,2/3/2017 16:00:00,240.95,,2/3/2017 16:00:00,7378939
,2/6/2017 16:00:00,239.98,,2/6/2017 16:00:00,4638732
,2/7/2017 16:00:00,239.62,,2/7/2017 16:00:00,2660079
,2/8/2017 16:00:00,237.73,,2/8/2017 16:00:00,2743651
,2/9/2017 16:00:00,241.55,,2/9/2017 16:00:00,3549336
,2/10/2017 16:00:00,242.72,,2/10/2017 16:00:00,3069774
,2/13/2017 16:00:00,246.27,,2/13/2017 16:00:00,2996845
,2/14/2017 16:00:00,249.46,,2/14/2017 16:00:00,4140670
,2/15/2017 16:00:00,250.54,,2/15/2017 16:00:00,4295827
,2/16/2017 16:00:00,249.44,,2/16/2017 16:00:00,2285792
,2/17/2017 16:00:00,250.38,,2/17/2017 16:00:00,3262324
