,,,,,
,,,,,
,AMZN,,,,
,,,,,
,Date,Close,,Date,Volume
,1/3/2017 16:00:00,753.67,,1/3/2017 16:00:00,3521066
,1/4/2017 16:00:00,757.18,,1/4/2017 16:00:00,2510526
,1/5/2017 16:00:00,780.45,,1/5/2017 16:00:00,5830068
,1/6/2017 16:00:00,795.99,,1/6/2017 16:00:00,5986234
,1/9/2017 16:00:00,796.92,,1/9/2017 16:00:00,3446109
,1/10/2017 16:00:00,795.9,,1/10/2017 16:00:00,2558369
,1/11/2017 16:00:00,799.02,,1/11/2017 16:00:00,2992791
,1/12/2017 16:00:00,813.64,,1/12/2017 16:00:00,4873922
,1/13/2017 16:00:00,817.14,,1/13/2017 16:00:00,3791945
,1/17/2017 16:00:00,809.72,,1/17/2017 16:00:00,3670529
,1/18/2017 16:00:00,807.48,,1/18/2017 16:00:00,2354201
,1/19/2017 16:00:00,809.04,,1/19/2017 16:00:00,2540784
,1/20/2017 16:00:00,808.33,,1/20/2017 16:00:00,3376196
,1/23/2017 16:00:00,817.88,,1/23/2017 16:00:00,2797474
,1/24/2017 16:00:00,822.44,,1/24/2017 16:00:00,2971740
,1/25/2017 16:00:00,836.52,,1/25/2017 16:00:00,4023078
,1/26/2017 16:00:00,839.15,,1/26/2017 16:00:00,3586323
,1/27/2017 16:00:00,835.77,,1/27/2017 16:00:00,2998700
,1/30/2017 16:00:00,830.38,,1/30/2017 16:00:00,3747336
,1/31/2017 16:00:00,823.48,,1/31/2017 16:00:00,3137196
,2/1/2017 16:00:00,832.35,,2/1/2017 16:00:00,3850181
,2/2/2017 16:00:00,839.95,,2/2/2017 16:00:00,7350492
,2/3/2017 16:00:00,810.2,,2/3/2017 16:00:00,10868773
,2/6/2017 16:00:00,807.64,,2/6/2017 16:00:00,3897301
,2/7/2017 16:00:00,812.5,,2/7/2017 16:00:00,3466091
,2/8/2017 16:00:00,819.71,,2/8/2017 16:00:00,2857985
,2/9/2017 16:00:00,821.36,,2/9/2017 16:00:00,2484948
,2/10/2017 16:00:00,827.46,,2/10/2017 16:00:00,2429609
,2/13/2017 16:00:00,836.53,,2/13/2017 16:00:00,4172618
,2/14/2017 16:00:00,836.39,,2/14/2017 16:00:00,2792442
,2/15/2017 16:00:00,842.7,,2/15/2017 16:00:00,2968853
,2/16/2017 16:00:00,844.14,,2/16/2017 16:00:00,2714667
,2/17/2017 16:00:00,845.07,,2/17/2017 16:00:00,3112275
