"Date","Time","Open","High","Low","Close","Vol","OI","Avg"
11/08/2010,15:02,31.91,31.92,30.23,30.61,0,0,0.00
11/09/2010,15:02,30.40,31.15,29.21,29.42,0,0,0.00
11/10/2010,15:02,29.39,30.61,28.52,28.89,0,0,0.00
11/11/2010,15:02,29.43,31.00,28.75,30.55,0,0,0.00
11/12/2010,15:02,30.65,36.02,30.18,33.87,0,0,0.00
11/15/2010,15:02,34.76,36.50,32.35,33.13,0,0,0.00
11/16/2010,15:02,34.31,34.41,32.49,33.41,0,0,0.00
11/17/2010,15:02,33.39,33.86,31.65,32.97,0,0,0.00
11/18/2010,15:02,32.48,32.48,29.30,30.01,0,0,0.00
11/19/2010,15:02,30.39,30.88,29.56,30.58,0,0,0.00
11/22/2010,15:02,32.30,32.50,29.83,30.03,0,0,0.00
11/23/2010,15:02,30.87,33.76,30.85,32.85,0,0,0.00
11/24/2010,15:02,32.29,32.29,30.05,30.69,0,0,0.00
11/26/2010,15:02,31.58,31.92,31.36,31.91,0,0,0.00
11/29/2010,15:02,33.35,34.41,32.78,33.05,0,0,0.00
11/30/2010,15:02,33.66,35.72,33.62,35.24,0,0,0.00
12/01/2010,15:02,34.55,34.55,31.54,31.74,0,0,0.00
12/02/2010,15:02,31.69,31.79,30.16,30.71,0,0,0.00
12/03/2010,15:02,30.71,30.76,28.93,29.41,0,0,0.00
12/06/2010,15:02,29.89,30.50,29.48,29.56,0,0,0.00
12/07/2010,15:02,29.32,29.68,28.51,29.25,0,0,0.00
12/08/2010,15:02,29.16,29.54,28.17,28.60,0,0,0.00
12/09/2010,15:02,28.32,29.27,28.24,28.81,0,0,0.00
12/10/2010,15:02,28.93,29.04,28.01,28.98,0,0,0.00
12/13/2010,15:02,25.94,27.21,24.79,27.06,0,0,0.00
12/14/2010,15:02,27.45,27.51,24.94,25.08,0,0,0.00
12/15/2010,15:02,25.41,25.44,23.46,24.95,0,0,0.00
12/16/2010,15:02,24.81,25.12,23.30,25.12,0,0,0.00
12/17/2010,15:02,25.76,25.77,24.00,25.20,0,0,0.00
12/20/2010,15:02,27.39,27.39,24.90,25.70,0,0,0.00
12/21/2010,15:02,25.96,26.17,24.99,25.52,0,0,0.00
12/22/2010,15:02,26.00,26.45,25.89,26.30,0,0,0.00
12/23/2010,15:02,26.75,27.53,26.71,26.84,0,0,0.00
12/27/2010,15:02,32.74,34.89,31.15,32.42,0,0,0.00
12/28/2010,15:02,32.29,33.37,32.24,32.77,0,0,0.00
12/29/2010,15:02,32.86,32.91,31.78,31.96,0,0,0.00
12/30/2010,15:02,32.28,32.40,31.87,32.35,0,0,0.00
12/31/2010,15:02,32.41,34.31,32.40,34.29,0,0,0.00
01/03/2011,15:02,34.74,34.79,32.23,32.73,0,0,0.00
01/04/2011,15:02,32.44,33.33,32.07,32.49,0,0,0.00
01/05/2011,15:02,32.71,32.99,31.78,31.83,0,0,0.00
01/06/2011,15:02,31.73,32.07,31.54,31.92,0,0,0.00
01/07/2011,15:02,31.86,32.41,31.33,31.57,0,0,0.00
