"Date","Time","Open","High","Low","Close","Vol","OI","Avg"
11/08/2010,15:02,20.12,20.13,19.15,19.17,0,0,0.00
11/09/2010,15:02,18.51,20.09,18.51,20.02,0,0,0.00
11/10/2010,15:02,20.22,20.53,19.98,19.98,0,0,0.00
11/11/2010,15:02,20.83,21.15,20.29,20.30,0,0,0.00
11/12/2010,15:02,20.78,21.42,20.40,21.29,0,0,0.00
11/15/2010,15:02,21.52,21.52,20.13,20.54,0,0,0.00
11/16/2010,15:02,21.18,22.00,20.80,21.74,0,0,0.00
11/17/2010,15:02,22.04,22.06,21.17,21.58,0,0,0.00
11/18/2010,15:02,21.36,21.39,19.98,20.21,0,0,0.00
11/19/2010,15:02,20.52,20.78,19.67,19.68,0,0,0.00
11/22/2010,15:02,21.42,21.50,20.25,20.29,0,0,0.00
11/23/2010,15:02,21.58,22.26,21.19,21.33,0,0,0.00
11/24/2010,15:02,21.54,21.54,19.62,19.89,0,0,0.00
11/26/2010,15:02,21.89,22.12,21.32,21.71,0,0,0.00
11/29/2010,15:02,23.10,24.49,23.10,23.36,0,0,0.00
11/30/2010,15:02,24.17,25.04,23.90,24.54,0,0,0.00
12/01/2010,15:02,23.56,23.67,22.22,22.65,0,0,0.00
12/02/2010,15:02,22.70,22.70,21.62,21.89,0,0,0.00
12/03/2010,15:02,22.18,22.18,20.87,20.89,0,0,0.00
12/06/2010,15:02,22.01,22.01,21.31,21.49,0,0,0.00
12/07/2010,15:02,21.73,21.73,20.63,21.69,0,0,0.00
12/08/2010,15:02,21.84,21.84,21.03,21.13,0,0,0.00
12/09/2010,15:02,20.87,21.38,20.83,20.99,0,0,0.00
12/10/2010,15:02,21.33,21.45,20.39,20.52,0,0,0.00
12/13/2010,15:02,21.01,21.09,20.00,20.27,0,0,0.00
12/14/2010,15:02,20.54,20.54,19.60,19.74,0,0,0.00
12/15/2010,15:02,20.33,20.55,19.94,20.35,0,0,0.00
12/16/2010,15:02,20.86,20.99,20.14,20.22,0,0,0.00
12/17/2010,15:02,20.66,20.66,19.58,19.87,0,0,0.00
12/20/2010,15:02,21.13,21.22,19.45,19.78,0,0,0.00
12/21/2010,15:02,19.64,19.87,19.11,19.21,0,0,0.00
12/22/2010,15:02,19.37,19.56,19.17,19.35,0,0,0.00
12/23/2010,15:02,19.57,19.59,19.04,19.30,0,0,0.00
12/27/2010,15:02,19.87,20.92,19.81,20.79,0,0,0.00
12/28/2010,15:02,20.96,21.23,20.71,20.77,0,0,0.00
