,,,,,
,,IBM,,,
,,,,,
,Date,Close,,Date,Volume
,1/3/2017 16:00:00,167.19,,1/3/2017 16:00:00,2934119
,1/4/2017 16:00:00,169.26,,1/4/2017 16:00:00,3381432
,1/5/2017 16:00:00,168.7,,1/5/2017 16:00:00,2682181
,1/6/2017 16:00:00,169.53,,1/6/2017 16:00:00,2945536
,1/9/2017 16:00:00,167.65,,1/9/2017 16:00:00,3189413
,1/10/2017 16:00:00,165.52,,1/10/2017 16:00:00,4118194
,1/11/2017 16:00:00,167.75,,1/11/2017 16:00:00,3599464
,1/12/2017 16:00:00,167.95,,1/12/2017 16:00:00,2927953
,1/13/2017 16:00:00,167.34,,1/13/2017 16:00:00,2875319
,1/17/2017 16:00:00,167.89,,1/17/2017 16:00:00,3315305
,1/18/2017 16:00:00,166.8,,1/18/2017 16:00:00,4005776
,1/19/2017 16:00:00,166.81,,1/19/2017 16:00:00,6947882
,1/20/2017 16:00:00,170.55,,1/20/2017 16:00:00,12607197
,1/23/2017 16:00:00,171.03,,1/23/2017 16:00:00,5477519
,1/24/2017 16:00:00,175.9,,1/24/2017 16:00:00,6951386
,1/25/2017 16:00:00,178.29,,1/25/2017 16:00:00,5922462
,1/26/2017 16:00:00,178.66,,1/26/2017 16:00:00,3063924
,1/27/2017 16:00:00,177.3,,1/27/2017 16:00:00,3482110
,1/30/2017 16:00:00,175.8,,1/30/2017 16:00:00,4093755
,1/31/2017 16:00:00,174.52,,1/31/2017 16:00:00,4134574
,2/1/2017 16:00:00,174.29,,2/1/2017 16:00:00,2795445
,2/2/2017 16:00:00,174.58,,2/2/2017 16:00:00,2620386
,2/3/2017 16:00:00,175.82,,2/3/2017 16:00:00,3309258
,2/6/2017 16:00:00,175.86,,2/6/2017 16:00:00,2650535
,2/7/2017 16:00:00,178.46,,2/7/2017 16:00:00,3873250
,2/8/2017 16:00:00,176.17,,2/8/2017 16:00:00,2913126
,2/9/2017 16:00:00,177.21,,2/9/2017 16:00:00,3090710
,2/10/2017 16:00:00,178.68,,2/10/2017 16:00:00,2930510
,2/13/2017 16:00:00,179.36,,2/13/2017 16:00:00,3093261
,2/14/2017 16:00:00,180.13,,2/14/2017 16:00:00,2775858
,2/15/2017 16:00:00,181.68,,2/15/2017 16:00:00,2914240
,2/16/2017 16:00:00,181.43,,2/16/2017 16:00:00,3251547
,2/17/2017 16:00:00,180.67,,2/17/2017 16:00:00,3552305
,2/21/2017 16:00:00,180.26,,2/21/2017 16:00:00,4480199
