"Date","Time","Open","High","Low","Close","Vol","OI","Avg"
11/08/2010,15:02,38.50,38.93,37.36,37.38,0,0,0.00
11/09/2010,15:02,37.31,37.73,36.45,36.46,0,0,0.00
11/10/2010,15:02,36.02,36.52,34.93,35.43,0,0,0.00
11/11/2010,15:02,35.77,37.32,35.77,36.41,0,0,0.00
11/12/2010,15:02,36.43,39.39,36.04,39.12,0,0,0.00
11/15/2010,15:02,39.87,40.18,37.78,39.23,0,0,0.00
11/16/2010,15:02,39.09,40.29,38.65,39.89,0,0,0.00
11/17/2010,15:02,39.74,39.75,38.32,38.51,0,0,0.00
11/18/2010,15:02,37.76,37.76,35.29,35.54,0,0,0.00
11/19/2010,15:02,35.75,36.20,34.79,34.90,0,0,0.00
11/22/2010,15:02,36.22,36.24,34.80,34.82,0,0,0.00
11/23/2010,15:02,35.98,37.76,35.60,37.27,0,0,0.00
11/24/2010,15:02,36.21,38.62,36.19,38.40,0,0,0.00
11/26/2010,15:02,38.75,40.47,38.75,40.37,0,0,0.00
11/29/2010,15:02,40.90,43.28,40.29,40.30,0,0,0.00
11/30/2010,15:02,41.65,42.06,41.12,41.57,0,0,0.00
12/01/2010,15:02,40.37,40.53,39.29,39.45,0,0,0.00
12/02/2010,15:02,39.51,39.71,37.86,38.09,0,0,0.00
12/03/2010,15:02,37.96,38.14,36.30,36.47,0,0,0.00
12/06/2010,15:02,37.36,38.26,36.35,36.70,0,0,0.00
12/07/2010,15:02,36.22,36.92,35.82,36.47,0,0,0.00
12/08/2010,15:02,35.82,36.66,35.42,35.42,0,0,0.00
12/09/2010,15:02,35.18,36.12,34.99,35.04,0,0,0.00
12/10/2010,15:02,34.83,35.33,34.60,34.68,0,0,0.00
12/13/2010,15:02,36.95,36.97,32.75,32.81,0,0,0.00
12/14/2010,15:02,33.04,33.57,32.75,33.08,0,0,0.00
12/15/2010,15:02,33.15,33.40,32.02,33.15,0,0,0.00
12/16/2010,15:02,33.80,33.80,31.39,31.70,0,0,0.00
12/17/2010,15:02,32.25,32.25,30.61,30.65,0,0,0.00
12/20/2010,15:02,31.79,31.95,29.77,30.14,0,0,0.00
12/21/2010,15:02,30.62,30.99,29.62,30.34,0,0,0.00
12/22/2010,15:02,30.60,30.65,29.59,29.90,0,0,0.00
12/23/2010,15:02,30.30,31.36,30.03,30.26,0,0,0.00
12/27/2010,15:02,34.60,34.77,33.93,34.44,0,0,0.00
12/28/2010,15:02,34.67,34.83,34.43,34.43,0,0,0.00
12/29/2010,15:02,34.73,35.10,34.40,34.77,0,0,0.00
12/30/2010,15:02,35.17,35.81,35.06,35.73,0,0,0.00
12/31/2010,15:02,36.23,36.74,36.05,36.71,0,0,0.00
01/03/2011,15:02,38.46,38.53,37.76,37.87,0,0,0.00
01/04/2011,15:02,37.50,38.32,37.48,37.66,0,0,0.00
01/05/2011,15:02,38.18,38.80,37.94,38.03,0,0,0.00
01/06/2011,15:02,38.45,39.03,38.34,38.41,0,0,0.00
01/07/2011,15:02,38.46,39.38,37.17,37.29,0,0,0.00
01/10/2011,15:02,39.14,39.34,38.40,38.45,0,0,0.00
01/11/2011,15:02,38.45,38.45,37.52,37.56,0,0,0.00
01/12/2011,15:02,37.63,37.79,36.91,36.95,0,0,0.00
01/13/2011,15:02,37.27,37.30,36.63,36.81,0,0,0.00
01/14/2011,15:02,37.18,37.18,36.09,36.18,0,0,0.00
01/18/2011,15:02,38.24,38.43,37.73,37.77,0,0,0.00
01/19/2011,15:02,37.88,38.85,37.74,38.83,0,0,0.00
01/20/2011,15:02,39.34,40.52,39.34,39.44,0,0,0.00
01/21/2011,15:02,39.23,41.23,39.06,41.23,0,0,0.00
01/24/2011,15:02,41.79,46.87,41.79,42.98,0,0,0.00
01/25/2011,15:02,43.00,44.37,42.95,43.67,0,0,0.00
01/26/2011,15:02,43.24,43.78,43.00,43.41,0,0,0.00
01/27/2011,15:02,42.86,44.02,40.99,42.47,0,0,0.00
01/28/2011,15:02,36.50,36.50,33.00,34.20,0,0,0.00
01/31/2011,15:02,35.21,36.06,34.02,34.06,0,0,0.00
02/01/2011,15:02,33.63,33.63,31.62,31.66,0,0,0.00
02/02/2011,15:02,31.68,31.77,30.56,30.60,0,0,0.00
02/03/2011,15:02,30.80,30.98,30.34,30.97,0,0,0.00
02/04/2011,15:02,30.86,30.86,29.65,30.39,0,0,0.00
02/07/2011,15:02,31.58,31.67,30.30,30.37,0,0,0.00
02/08/2011,15:02,30.43,30.43,29.48,30.14,0,0,0.00
02/09/2011,15:02,30.26,30.87,29.97,29.97,0,0,0.00
02/10/2011,15:02,30.27,30.88,29.96,30.74,0,0,0.00
02/11/2011,15:02,30.84,32.28,30.32,31.50,0,0,0.00
02/14/2011,15:02,32.38,33.27,32.38,32.69,0,0,0.00
02/15/2011,15:02,32.88,32.98,32.28,32.38,0,0,0.00
02/16/2011,15:02,32.39,32.79,31.98,32.68,0,0,0.00
02/17/2011,15:02,32.94,33.25,32.90,32.94,0,0,0.00
02/18/2011,15:02,33.18,33.39,31.34,31.35,0,0,0.00
02/22/2011,15:02,33.98,35.01,33.30,34.98,0,0,0.00
02/23/2011,15:02,35.06,37.73,35.01,35.79,0,0,0.00
02/24/2011,15:02,35.92,37.06,35.22,35.51,0,0,0.00
02/25/2011,15:02,35.04,35.04,33.52,34.03,0,0,0.00
02/28/2011,15:02,36.16,36.23,35.04,35.13,0,0,0.00
03/01/2011,15:02,35.20,36.61,34.96,36.53,0,0,0.00
03/02/2011,15:02,36.23,36.76,35.41,35.82,0,0,0.00
03/03/2011,15:02,35.10,35.18,33.63,33.91,0,0,0.00
03/04/2011,15:02,34.00,34.73,33.97,34.28,0,0,0.00
03/07/2011,15:02,35.38,37.25,35.07,36.38,0,0,0.00
03/08/2011,15:02,36.46,36.99,35.44,36.16,0,0,0.00
03/09/2011,15:02,36.55,37.34,36.49,36.93,0,0,0.00
03/10/2011,15:02,37.67,38.77,37.10,37.67,0,0,0.00
03/11/2011,15:02,37.93,37.93,36.51,36.67,0,0,0.00
03/14/2011,15:02,38.43,38.50,36.54,36.59,0,0,0.00
03/15/2011,15:02,39.07,39.16,36.71,37.10,0,0,0.00
03/16/2011,15:02,37.52,42.68,36.41,41.28,0,0,0.00
03/17/2011,15:02,40.23,40.81,38.02,39.16,0,0,0.00
03/18/2011,15:02,38.61,38.87,35.12,36.10,0,0,0.00
03/21/2011,15:02,38.09,38.19,33.55,34.07,0,0,0.00
03/22/2011,15:02,34.22,34.55,33.37,33.47,0,0,0.00
03/23/2011,15:02,33.82,34.11,32.43,32.78,0,0,0.00
03/24/2011,15:02,32.52,33.82,32.21,33.15,0,0,0.00
03/25/2011,15:02,33.30,33.53,32.18,32.51,0,0,0.00
03/28/2011,15:02,33.94,34.53,33.90,34.24,0,0,0.00
03/29/2011,15:02,33.96,35.14,33.96,34.42,0,0,0.00
03/30/2011,15:02,34.04,35.10,34.04,35.02,0,0,0.00
03/31/2011,15:02,35.29,35.75,35.27,35.50,0,0,0.00
04/01/2011,15:02,35.44,35.51,34.95,35.20,0,0,0.00
04/04/2011,15:02,36.57,36.67,35.83,35.88,0,0,0.00
04/05/2011,15:02,36.04,36.28,35.54,35.68,0,0,0.00
04/06/2011,15:02,35.65,36.88,35.52,36.43,0,0,0.00
04/07/2011,15:02,36.68,36.68,35.51,35.53,0,0,0.00
04/08/2011,15:02,35.59,35.64,35.11,35.17,0,0,0.00
04/11/2011,15:02,37.53,37.63,36.89,37.55,0,0,0.00
04/12/2011,15:02,37.52,38.31,37.37,38.13,0,0,0.00
04/13/2011,15:02,38.12,38.33,37.80,38.13,0,0,0.00
04/14/2011,15:02,38.07,38.36,36.49,36.67,0,0,0.00
04/15/2011,15:02,36.73,37.02,34.75,35.65,0,0,0.00
04/18/2011,15:02,37.29,38.90,36.89,36.93,0,0,0.00
04/19/2011,15:02,36.53,37.31,36.52,36.63,0,0,0.00
04/20/2011,15:02,35.82,36.89,35.48,36.38,0,0,0.00
04/21/2011,15:02,36.06,40.12,35.37,35.92,0,0,0.00
04/25/2011,15:02,37.25,38.29,37.24,38.23,0,0,0.00
04/26/2011,15:02,38.28,38.75,37.10,37.71,0,0,0.00
04/27/2011,15:02,29.12,32.21,29.09,32.06,0,0,0.00
04/28/2011,15:02,32.70,33.00,31.06,31.12,0,0,0.00
04/29/2011,15:02,31.61,31.74,30.05,30.05,0,0,0.00
05/02/2011,15:02,30.56,32.36,30.39,32.01,0,0,0.00
05/03/2011,15:02,32.01,32.30,31.60,31.68,0,0,0.00
05/04/2011,15:02,31.89,33.26,31.57,32.28,0,0,0.00
05/05/2011,15:02,32.59,32.59,31.54,32.15,0,0,0.00
05/06/2011,15:02,31.44,31.44,30.03,31.28,0,0,0.00
05/09/2011,15:02,31.98,32.54,31.49,32.14,0,0,0.00
05/10/2011,15:02,32.09,32.58,30.20,30.26,0,0,0.00
05/11/2011,15:02,30.19,30.92,30.12,30.35,0,0,0.00
05/12/2011,15:02,31.02,33.99,30.83,31.24,0,0,0.00
05/13/2011,15:02,31.38,33.43,30.37,30.64,0,0,0.00
05/16/2011,15:02,32.09,34.42,31.52,34.31,0,0,0.00
05/17/2011,15:02,34.58,35.45,33.19,33.29,0,0,0.00
05/18/2011,15:02,33.33,33.47,31.00,31.41,0,0,0.00
05/19/2011,15:02,31.35,31.51,30.63,30.66,0,0,0.00
05/20/2011,15:02,30.83,31.21,29.31,30.24,0,0,0.00
05/23/2011,15:02,32.31,33.29,32.21,32.46,0,0,0.00
05/24/2011,15:02,32.22,32.32,31.24,31.34,0,0,0.00
05/25/2011,15:02,31.32,31.39,30.38,30.38,0,0,0.00
05/26/2011,15:02,30.79,30.91,29.68,29.92,0,0,0.00
05/27/2011,15:02,29.90,29.90,28.80,29.20,0,0,0.00
05/31/2011,15:02,30.18,30.34,29.58,29.88,0,0,0.00
06/01/2011,15:02,29.86,31.11,29.63,31.09,0,0,0.00
06/02/2011,15:02,31.34,31.51,30.62,30.86,0,0,0.00
06/03/2011,15:02,31.68,34.95,31.00,31.98,0,0,0.00
06/06/2011,15:02,33.05,33.62,32.68,32.88,0,0,0.00
06/07/2011,15:02,33.04,33.04,31.55,32.51,0,0,0.00
06/08/2011,15:02,32.63,33.01,32.14,32.51,0,0,0.00
06/09/2011,15:02,32.61,33.25,31.52,31.96,0,0,0.00
06/10/2011,15:02,32.75,33.14,32.19,32.45,0,0,0.00
06/13/2011,15:02,32.65,32.98,31.30,31.33,0,0,0.00
06/14/2011,15:02,31.04,31.25,30.28,30.57,0,0,0.00
06/15/2011,15:02,31.29,33.97,31.08,33.32,0,0,0.00
06/16/2011,15:02,33.57,37.32,33.53,35.71,0,0,0.00
06/17/2011,15:02,35.28,35.60,34.45,35.00,0,0,0.00
06/20/2011,15:02,36.77,37.21,35.01,35.01,0,0,0.00
06/21/2011,15:02,35.13,35.25,32.79,33.49,0,0,0.00
06/22/2011,15:02,33.88,34.24,32.88,33.11,0,0,0.00
06/23/2011,15:02,33.88,34.87,33.38,33.47,0,0,0.00
06/24/2011,15:02,33.66,34.09,33.42,33.91,0,0,0.00
