"Date","Time","Open","High","Low","Close","Vol","OI","Avg"
11/08/2010,15:02,27.26,27.75,26.89,27.16,0,0,0.00
11/09/2010,15:02,27.13,28.70,26.75,28.61,0,0,0.00
11/10/2010,15:02,28.45,29.76,28.31,28.80,0,0,0.00
11/11/2010,15:02,29.40,29.69,28.85,29.12,0,0,0.00
11/12/2010,15:02,29.84,31.24,29.68,31.00,0,0,0.00
11/15/2010,15:02,31.05,31.81,29.45,29.69,0,0,0.00
11/16/2010,15:02,29.90,32.51,29.72,31.98,0,0,0.00
11/17/2010,15:02,32.66,32.96,30.44,30.69,0,0,0.00
11/18/2010,15:02,30.28,30.28,28.13,28.72,0,0,0.00
11/19/2010,15:02,28.93,29.25,27.73,27.99,0,0,0.00
11/22/2010,15:02,29.99,36.29,29.99,33.52,0,0,0.00
11/23/2010,15:02,34.75,35.33,33.31,35.17,0,0,0.00
11/24/2010,15:02,34.89,34.89,33.16,33.16,0,0,0.00
11/26/2010,15:02,33.88,35.03,33.72,34.89,0,0,0.00
11/29/2010,15:02,37.29,37.29,35.93,36.06,0,0,0.00
11/30/2010,15:02,37.19,38.72,36.73,38.34,0,0,0.00
12/01/2010,15:02,36.81,36.93,33.08,34.90,0,0,0.00
12/02/2010,15:02,34.83,34.83,32.00,32.10,0,0,0.00
12/03/2010,15:02,32.99,33.07,31.26,31.39,0,0,0.00
12/06/2010,15:02,33.00,33.00,31.07,31.21,0,0,0.00
12/07/2010,15:02,29.83,31.77,28.60,30.10,0,0,0.00
12/08/2010,15:02,30.02,30.32,29.37,29.92,0,0,0.00
12/09/2010,15:02,29.48,30.39,29.30,29.66,0,0,0.00
12/10/2010,15:02,29.59,29.71,28.51,28.56,0,0,0.00
12/13/2010,15:02,29.31,29.31,27.47,28.82,0,0,0.00
12/14/2010,15:02,28.64,28.98,27.77,27.98,0,0,0.00
12/15/2010,15:02,28.45,28.92,27.42,28.27,0,0,0.00
12/16/2010,15:02,28.41,29.51,27.64,28.10,0,0,0.00
12/17/2010,15:02,28.43,28.74,26.87,27.04,0,0,0.00
12/20/2010,15:02,28.40,28.47,26.16,27.55,0,0,0.00
12/21/2010,15:02,27.31,27.31,26.63,27.20,0,0,0.00
12/22/2010,15:02,27.07,27.65,26.86,27.40,0,0,0.00
12/23/2010,15:02,27.35,28.37,27.35,27.97,0,0,0.00
12/27/2010,15:02,29.32,29.42,28.36,28.40,0,0,0.00
12/28/2010,15:02,28.41,28.71,28.01,28.17,0,0,0.00
12/29/2010,15:02,28.10,28.45,27.51,28.04,0,0,0.00
12/30/2010,15:02,28.18,28.80,28.18,28.27,0,0,0.00
12/31/2010,15:02,28.36,28.72,28.36,28.64,0,0,0.00
